Filename;Laplacian Variance
NE_0.71m_5.09s_SSE_21.5kmh_hm_20241127_134146_a.png;379
E_0.83m_4.0s_NNW_10.8kmh_hm_20241113_160014.png;329
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140014.png;322
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_085909.png;319
E_1.18m_4.75s_NNW_13.9kmh_hm_20241114_140014.png;317
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150014.png;316
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100014.png;301
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160013.png;263
E_1.19m_4.81s_NNW_14.9kmh_hm_20241114_150017.png;255
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121513.png;251
SE_2.71m_6.44s_WNW_15.1kmh_hm_20241120_090015.png;249
ESE_0.83m_5.22s_W_8.0kmh_lm_20241115_120015.png;248
E_1.18m_4.63s_N_12.0kmh_mh_20241114_120015.png;246
E_0.83m_4.02s_NNW_12.2kmh_hm_20241113_150015.png;245
SE_2.84m_6.37s_WNW_24.2kmh_ml_20241120_130015.png;244
SE_2.96m_6.43s_W_25.1kmh_lm_20241120_150018.png;238
E_0.82m_4.08s_NNW_11.6kmh_hm_20241113_140016.png;231
E_0.78m_4.35s_NNW_8.1kmh_mh_20241113_110013.png;230
ESE_0.81m_5.13s_W_7.5kmh_mh_20241115_130014.png;227
E_1.19m_4.88s_N_13.3kmh_hm_20241114_170014.png;225
E_1.39m_5.58s_NE_16.1kmh_mh_20241112_100423.png;225
SE_2.85m_6.39s_W_24.7kmh_lm_20241120_140025.png;225
ESE_0.83m_4.67s_WSW_6.3kmh_hm_20241115_150014.png;224
SE_2.91m_6.48s_WNW_20.9kmh_ml_20241120_110020.png;224
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130013.png;220
E_1.67m_5.7s_NE_17.7kmh_lm_20241112_075339.png;220
SE_2.86m_6.41s_WNW_18.0kmh_ml_20241120_100014.png;218
E_0.98m_5.37s_NE_12.7kmh_ml_20241112_170016.png;216
ESE_0.82m_4.88s_WSW_6.9kmh_mh_20241115_140014.png;213
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130013.png;213
ESE_0.85m_5.24s_W_7.3kmh_lm_20241115_110014.png;211
SE_2.94m_6.44s_WNW_23.8kmh_ml_20241120_120014.png;210
SE_0.79m_4.64s_SW_7.0kmh_hm_20241115_170014.png;209
E_0.65m_4.73s_NW_3.5kmh_lm_20241113_090013.png;208
E_0.74m_4.48s_NNW_5.8kmh_lm_20241113_100014.png;208
E_0.79m_4.28s_N_10.3kmh_mh_20241113_120016.png;208
ESE_0.81m_4.65s_WSW_6.7kmh_hm_20241115_160019.png;205
ESE_1.82m_5.12s_NNW_20.9kmh_hm_20241111_115638.png;202
E_0.63m_5.05s_NNW_3.6kmh_ml_20241113_080017.png;202
E_1.3m_5.58s_NE_15.6kmh_mh_20241112_110956.png;202
ESE_0.83m_3.98s_NW_9.5kmh_ml_20241113_170015.png;200
ESE_0.9m_5.26s_W_5.8kmh_ml_20241115_090014.png;200
E_1.18m_4.47s_N_11.1kmh_ml_20241114_090408.png;198
ESE_1.06m_5.21s_N_9.4kmh_mh_20241119_160525.png;197
E_1.19m_4.52s_N_11.4kmh_lm_20241114_100014.png;196
E_1.19m_4.86s_NNW_14.1kmh_hm_20241114_160014.png;193
E_1.17m_4.7s_N_13.0kmh_mh_20241114_130015.png;192
SE_2.47m_6.31s_WNW_14.7kmh_hm_20241120_080019.png;192
ENE_1.27m_4.78s_N_15.0kmh_hm_20241119_075516.png;191
E_1.19m_5.13s_NNE_18.5kmh_ml_20241119_094446.png;172
SW_1.99m_5.35s_SSW_33.2kmh_ml_20241124_130447_a.png;165
ESE_2.16m_5.57s_NNW_22.4kmh_ml_20241111_154821.png;163
E_1.53m_5.36s_NE_22.0kmh_ml_20241209_133632_a.png;160
SE_1.88m_5.73s_W_16.8kmh_lm_20241121_151422_a.png;157
E_1.06m_5.44s_NE_14.4kmh_ml_20241119_115128.png;150
SSW_1.62m_4.86s_SW_21.6kmh_hm_20241126_120818_a.png;148
ESE_1.83m_5.17s_NNW_21.8kmh_hm_20241111_130017.png;147
E_1.18m_4.57s_N_11.7kmh_lm_20241114_110015.png;147
SE_2.96m_6.43s_W_25.1kmh_lm_20241120_153234_a.png;147
ESE_0.97m_5.77s_NNE_11.2kmh_lm_20241119_135825.png;145
SSE_2.71m_5.78s_W_28.2kmh_hm_20241122_101608_a.png;142
ESE_1.8m_5.11s_NNW_20.3kmh_hm_20241111_104835.png;141
NE_0.71m_5.09s_SSE_21.5kmh_ml_20241127_164138_a.png;141
SW_1.99m_5.35s_SSW_33.2kmh_hm_20241124_100453_a.png;141
ESE_1.91m_5.71s_NNW_13.5kmh_hm_20241128_142422_a.png;135
ESE_0.94m_5.72s_NNW_9.1kmh_lm_20241119_150156.png;134
SW_0.89m_4.22s_S_11.4kmh_ml_20241130_084748_a.png;134
SSE_2.81m_5.87s_W_30.3kmh_ml_20241122_121408_a.png;133
SE_1.88m_5.73s_W_16.8kmh_ml_20241121_111421_a.png;132
SSW_1.95m_5.67s_SSW_30.2kmh_lm_20241207_151747_a.png;132
E_1.19m_5.13s_NNE_18.5kmh_hm_20241119_090015.png;131
SSW_1.66m_5.23s_SW_27.9kmh_mh_20241125_093308_a.png;131
SW_0.89m_4.22s_S_11.4kmh_lm_20241130_104755_a.png;130
SW_1.08m_4.21s_SSW_19.9kmh_lm_20241123_155856_a.png;130
SW_1.08m_4.21s_SSW_19.9kmh_ml_20241123_125851_a.png;130
ESE_1.91m_5.71s_NNW_13.5kmh_mh_20241128_112422_a.png;128
ENE_1.17m_4.83s_NE_19.6kmh_ml_20241210_143616_a.png;126
E_1.57m_5.27s_NE_20.1kmh_hm_20241208_094831_a.png;126
SSE_2.81m_5.87s_W_30.3kmh_hm_20241122_111403_a.png;126
E_1.01m_5.61s_NE_12.3kmh_ml_20241119_125455.png;125
E_1.57m_5.27s_NE_20.1kmh_ml_20241208_114844_a.png;125
SSW_1.62m_4.86s_SW_21.6kmh_mh_20241126_110815_a.png;125
E_1.57m_5.27s_NE_20.1kmh_lm_20241208_154847_a.png;124
SSW_1.62m_4.86s_SW_21.6kmh_ml_20241126_160809_a.png;124
E_1.11m_5.27s_NNE_16.5kmh_ml_20241119_104813.png;123
NE_0.71m_5.09s_SSE_21.5kmh_mh_20241127_104157_a.png;123
ENE_1.17m_4.83s_NE_19.6kmh_hm_20241210_103602_a.png;122
E_1.53m_5.36s_NE_22.0kmh_hm_20241209_093639_a.png;122
ENE_1.17m_4.83s_NE_19.6kmh_mh_20241210_093602_a.png;121
ESE_0.93m_5.27s_WNW_5.5kmh_ml_20241115_080017.png;121
ESE_2.25m_5.68s_NNW_22.6kmh_ml_20241111_165207.png;120
SSW_1.95m_5.67s_SSW_30.2kmh_hm_20241207_091809_a.png;120
SSW_1.95m_5.67s_SSW_30.2kmh_ml_20241207_111734_a.png;119
SW_1.08m_4.21s_SSW_19.9kmh_hm_20241123_085858_a.png;119
NE_0.71m_5.09s_SSE_21.5kmh_lm_20241127_084151_a.png;117
SW_1.99m_5.35s_SSW_33.2kmh_mh_20241124_090443_a.png;117
ESE_1.91m_5.71s_NNW_13.5kmh_lm_20241128_092427_a.png;116
SSW_1.62m_4.86s_SW_21.6kmh_mh_20241126_110454_h.png;77
ESE_1.7m_4.96s_NNW_19.6kmh_mh_20241111_091501.png;67
ESE_1.91m_5.71s_NNW_13.5kmh_mh_20241128_112053_h.png;66
SE_1.88m_5.73s_W_16.8kmh_lm_20241121_151055_h.png;64
SSW_1.62m_4.86s_SW_21.6kmh_ml_20241126_160454_h.png;62
ESE_1.91m_5.71s_NNW_13.5kmh_lm_20241128_092053_h.png;60
ESE_1.91m_5.71s_NNW_13.5kmh_hm_20241128_142053_h.png;59
E_1.57m_5.27s_NE_20.1kmh_ml_20241208_114528_h.png;59
SW_1.08m_4.21s_SSW_19.9kmh_hm_20241123_085545_h.png;59
S_0.31m_2.52s_WSW_7.4kmh_ml_20241110_161244.png;59
ENE_1.17m_4.83s_NE_19.6kmh_ml_20241210_143254_h.png;58
NE_0.71m_5.09s_SSE_21.5kmh_ml_20241127_163844_h.png;58
SW_0.89m_4.22s_S_11.4kmh_lm_20241130_104418_h.png;58
SW_1.99m_5.35s_SSW_33.2kmh_hm_20241124_100132_h.png;57
ENE_1.17m_4.83s_NE_19.6kmh_mh_20241210_093254_h.png;56
NE_0.71m_5.09s_SSE_21.5kmh_hm_20241127_133845_h.png;56
NW_0.2m_1.5s_ESE_5.7kmh_hm_20241109_092518.png;55
E_1.53m_5.36s_NE_22.0kmh_ml_20241209_133319_h.png;54
E_1.57m_5.27s_NE_20.1kmh_lm_20241208_154528_h.png;54
SE_2.96m_6.43s_W_25.1kmh_lm_20241120_152855_h.png;54
SSW_0.45m_2.75s_W_9.0kmh_hm_20241110_125128.png;53
SW_1.99m_5.35s_SSW_33.2kmh_ml_20241124_130132_h.png;53
S_0.39m_2.72s_W_8.9kmh_ml_20241110_135407.png;53
WNW_0.17m_1.75s_SSE_5.7kmh_hm_20241109_112707.png;53
NNE_0.31m_2.12s_E_10.0kmh_lm_20241108_163635.png;51
SSE_2.71m_5.78s_W_28.2kmh_hm_20241122_101257_h.png;51
SSE_2.81m_5.87s_W_30.3kmh_hm_20241122_111054_h.png;51
SSW_1.95m_5.67s_SSW_30.2kmh_hm_20241207_091443_h.png;51
SW_1.08m_4.21s_SSW_19.9kmh_ml_20241123_125544_h.png;51
SE_1.88m_5.73s_W_16.8kmh_ml_20241121_111055_h.png;50
SSW_0.5m_2.77s_WSW_7.8kmh_hm_20241110_114851.png;50
SSW_1.95m_5.67s_SSW_30.2kmh_lm_20241207_151443_h.png;50
SSW_1.95m_5.67s_SSW_30.2kmh_ml_20241207_111442_h.png;50
SW_1.99m_5.35s_SSW_33.2kmh_mh_20241124_090132_h.png;50
WNW_0.19m_1.7s_SE_5.7kmh_hm_20241109_102613.png;50
E_1.53m_5.36s_NE_22.0kmh_hm_20241209_093319_h.png;49
NE_0.71m_5.09s_SSE_21.5kmh_lm_20241127_083845_h.png;49
SSE_2.81m_5.87s_W_30.3kmh_ml_20241122_121055_h.png;49
SW_0.89m_4.22s_S_11.4kmh_ml_20241130_084417_h.png;49
ENE_1.17m_4.83s_NE_19.6kmh_hm_20241210_103254_h.png;48
E_1.57m_5.27s_NE_20.1kmh_hm_20241208_094528_h.png;48
NE_0.71m_5.09s_SSE_21.5kmh_mh_20241127_103844_h.png;48
SSW_1.62m_4.86s_SW_21.6kmh_hm_20241126_120454_h.png;48
SSW_1.66m_5.23s_SW_27.9kmh_mh_20241125_092954_h.png;48
SW_1.08m_4.21s_SSW_19.9kmh_lm_20241123_155544_h.png;48
ESE_1.55m_4.69s_NNW_19.2kmh_lm_20241111_081216.png;46
ESE_1.8m_5.11s_NNW_20.3kmh_mh_20241111_103255.png;38
NNE_0.32m_2.14s_E_10.0kmh_lm_20241108_153537.png;38
N_0.22m_1.95s_ENE_9.6kmh_20241107_162417.png;38
N_0.22m_1.95s_ENE_9.6kmh_20241107_162532.png;38
N_0.22m_1.95s_ENE_9.6kmh_20241107_162429.png;37
N_0.22m_1.95s_ENE_9.6kmh_20241107_162442.png;37
N_0.22m_1.95s_ENE_9.6kmh_20241107_162454.png;37
N_0.22m_1.95s_ENE_9.6kmh_20241107_162507.png;37
N_0.22m_1.95s_ENE_9.6kmh_20241107_162544.png;37
N_0.22m_1.95s_ENE_9.6kmh_20241107_162519.png;36
WNW_0.24m_1.9s_SSE_2.1kmh_lm_20241109_171258.png;35
NNE_0.27m_2.02s_E_11.3kmh_ml_20241108_120335.png;32
